Timestamp,ques_email,category,question,answer1_email,Answer1,Answer-2,Answer-3
10/18/2019 12:12:12,tamarin@gmail.com,3rd year Summer Internship,What was the stipend for Morgan Stanley?,heron@gmail.com,87000 per month,,
10/18/2019 12:14:09,tamarin@gmail.com,4th year placements,What subjects do I generally focus on to prepare for placements?,heron@gmail.com,DS Algo OS and basic DBMS,,
10/18/2019 12:48:07,tamarin@gmail.com,3rd year Summer Internship,When will companies be arriving for campus placements for summer internships?,heron@gmail.com,Morgan Stanley came on Oct 1 for the class of 2020,Intuit came only for girls in the beginning of September for the 2020 class,
10/18/2019 13:39:33,tamarin@gmail.com,4th year placements,How many companies above 20CTC come?,heron@gmail.com,There isn't a definite number of companies. But lots of companies offer CTC above 20lpa,,
10/18/2019 13:41:12,tamarin@gmail.com,4th year placements,How many companies have a clear JD?,heron@gmail.com,Most companies have to fill out a job form when the register with the placement cell. Some companies send a out documents with their JD and CTC breakup,,
10/18/2019 13:43:45,tamarin@gmail.com,4th year placements,What is the policy regarding dream companies?,heron@gmail.com,They've introduced a Super Dream category for companies with CTC above 36lpa you can apply regardless of how many offers you hold,,
10/18/2019 13:44:21,tamarin@gmail.com,3rd year Summer Internship,How are the off campus taken into account?,heron@gmail.com,"3rd year internships aren't completely necassary. If it's on campus, you'll be allowed to accept only the first offer and not apply for the companies coming later. Off campus you can apply to how many ever.",,
10/18/2019 13:51:13,tamarin@gmail.com,3rd year Summer Internship,How much value does it hold?,heron@gmail.com,3rd semester internships at industries might lead to a pre placement offer. Otherwise they just help you build your resume.,,
10/18/2019 13:51:57,tamarin@gmail.com,3rd year Summer Internship,How many rounds of interviews are conducted usually? ,heron@gmail.com,"most companies have around 2 rounds of technical interviews, followed by a HR round. It varies based on both the company and the interviewee, usually",,
10/18/2019 13:52:26,tamarin@gmail.com,4th year placements,"Are there any companies that publish annual CTC(not including the 4 year stock options, bonuses etc)",heron@gmail.com,Companies usually amortize the cost they incur when they employ you and publish the CTC over 4 years. The base pay is the number you usually get in hand including the tax and your contribution to PF,,
